,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
,,,,Doctorate,D
,,,,Master's,73
1392,E CLINICALWORKS LLC,126," 76,379",Bachelor's,34
,,,,Master's,92
2685,UNIV OF PA,126," 65,040",Bachelor's,D
,,,,Doctorate,72
,,,,Master's,27
,,,,Professional,18
5715,ANTHEM INC,126," 98,827",Bachelor's,71
,,,,Master's,54
,,,,Professional,D
3754,ITECH US INC,126," 88,841",Bachelor's,44
,,,,Master's,82
6494,UNIV OF CA DAVIS,126," 74,011",Missing Education,D
,,,,Bachelor's,D
,,,,Doctorate,100
,,,,Master's,11
,,,,Professional,12
6143,UCLA,126," 85,072",Bachelor's,11
,,,,Doctorate,82
,,,,Master's,18
,,,,Professional,15
7139,THE UNIV OF CHICAGO,125," 65,821",Bachelor's,D
,,,,Doctorate,79
,,,,Master's,28
,,,,Professional,10
4813,THE UNIV OF IA,125," 83,224",Bachelor's,D
,,,,Doctorate,47
,,,,Master's,17
,,,,Professional,54
1741,LAWRENCE BERKELEY NAL LABORA,125," 83,151",Bachelor's,D
,,,,Doctorate,106
,,,,Master's,16
3859,CURATORS OF THE UNIV OF MISS,124," 80,476",Bachelor's,D
,,,,Doctorate,76
,,,,Master's,12
,,,,Professional,33
5396,THE UNIV OF AL AT BIRMINGHAM,124," 50,431",Bachelor's,D
,,,,Doctorate,44
,,,,Master's,23
,,,,Professional,54
0434,BOROUGH OF MANHATTAN COMMUNI,122," 68,424",Bachelor's,D
,,,,Doctorate,14
,,,,Master's,105
5755,COMCAST CABLE COMMUNICATIONS,122," 105,008",Bachelor's,49
,,,,Doctorate,D
,,,,Master's,68
0312,SYSTIME COMP CORP D/B/A KPIT,121," 77,101",Bachelor's,86
,,,,Master's,31
,,,,Some College,D
9196,AIRWATCH LLC,120," 82,961",Bachelor's,38
,,,,Master's,82
1793,SANDISK CORP,120," 114,661",Bachelor's,11
,,,,Doctorate,17
,,,,Master's,92
3600,T MOBILE USA INC,120," 108,285",Bachelor's,53
,,,,Doctorate,D
,,,,Master's,66
5591,UNIV OF PITTSBURGH,118," 57,147",Bachelor's,D
,,,,Doctorate,81
,,,,Master's,20
,,,,Professional,15
0010,JOHNSON CONTROL INC,118," 99,238",Bachelor's,54
,,,,Doctorate,D
,,,,High School,D
,,,,Master's,57
,,,,No Diploma,D
6944,CERNER CORP,118," 73,331",Missing Education,D
,,,,Bachelor's,D
,,,,Doctorate,D
,,,,Master's,115
5152,CITRIX SYSTEMS INC,118," 110,945",Bachelor's,37
,,,,Doctorate,D
,,,,Master's,80
1761,NATSOFT CORP,117," 71,667",Bachelor's,58
,,,,Master's,59
6256,EMORY UNIV,117," 80,679",Bachelor's,D
,,,,Doctorate,42
,,,,Master's,16
,,,,Professional,53
4398,BARCLAYS SERVICE CORP,116," 114,852",Bachelor's,39
,,,,Doctorate,D
,,,,Master's,76
7817,NORTHWESTERN UNIVERSITY,116," 60,252",Missing Education,D
