"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
890,GREENTREE FOREST PRODUCTS INC,-,12,12
9619,GARDEN OF GETHSEMANE NURSERY & LAN,12,-,12
3039,AJ POOL PLASTERING LLC,12,-,12
2892,PRIORITY LANDSCAPES LLC,12,-,12
4242,RESORT RECREATION CTR INC DBA THE,12,-,12
5381,PRO LAWN LANDSCAPE & MAINTENANCE I,12,-,12
2422,SCHOGGENSCAPES INC,12,-,12
1352,BOBS TREE PRESERVATION INC,12,-,12
8798,LOUISIANA VEGETATION MGT INC,12,-,12
2858,FOUR SEASONS LANDSCAPING,12,-,12
6876,OAKLEYS INC,12,-,12
5180,FAZZONE CONSTRUCTION COMPANY INC,12,-,12
319,CASTELLANOS CORP,-,12,12
2166,LIBERTAD FISHERIES INC,-,12,12
6614,P & T CONSTRUCTION CO INC,-,12,12
4934,GOURMET GRASS INC,12,-,12
8733,TEJAS STONE WORKS INC,12,-,12
8199,SMITHS LAWN SVC DBA TEXAS LAWNS,12,-,12
4513,MN GOBER LLC,12,-,12
1591,LES LIGHTFOOT ENTERPRISES INC,12,-,12
9196,HORIZON LAWN & LANDSCAPE INC,12,-,12
4470,KELLER COMMERCIAL & HOME SVCS INC,12,-,12
489,ELK COUNTRY MOTELS INC,12,-,12
230,PERRY PARK COUNTRY CLUB,12,-,12
730,INVESTMENTS BY SMITH,12,-,12
4056,ROCKY MOUNTAIN ENVIRONMENTAL CONST,12,-,12
6727,LOUKONEN BROS STONE CO,12,-,12
8427,EVERGREEN TURF INC,12,-,12
3986,WILD WILLIES YARD SVCS DBA ESCHENF,-,12,12
2915,QUALITY LANDSCAPING INC,12,-,12
8059,HHH LANDSCAPES LLC,12,-,12
4625,FOUR SEASONS FORESTRY SVCS INC,-,12,12
2758,AMERICAN WHITEWATER EXPEDITIONS,12,-,12
561,CAPRICE ENTERPRISES INC,12,-,12
389,VINEYARDS COUNTRY CLUB INC,12,-,12
4946,FIRST CLASS HOTELS LLC DBA THE ROO,12,-,12
5951,KEMPER SPORTS MGT INC DBA THE FOUN,12,-,12
261,FRENCHMANS RESERVE COUNTRY CLUB,12,-,12
4103,THE PLAYERS CLUB & SPA LLC,12,-,12
7326,BOCA GROVE GOLF & TENNIS CLUB,12,-,12
8646,EISAMAN EQUINE SERVICES INC,12,-,12
3668,STONEBRIDGE COUNTRY CLUB COMMUNITY,12,-,12
3151,DEER CREST JANNA LLC DBA THE ST RE,12,-,12
8426,DAKOTA TERRITORY LODGING INC DBA A,D,D,12
3194,ARMANIS OYSTERS,12,-,12
9071,P & R FORESTRY LLC,11,-,11
9867,INTERSTATE BUILDING MATERIALS INC,-,11,11
5119,THE YANKEE REBEL TAVERN INC,-,11,11
1923,BOUGHTON HOTEL CORP DBA TEH COLONY,-,11,11
6282,THE WEST STREET CAFE INC,-,11,11
7007,TRIMMERS LAWN CARE INC,11,-,11
8221,3 WHITE BIRCHES DBA GREEN MTN INN,-,11,11
853,DAYCO INC,11,-,11
4741,CARPE DIEM DBA CLAUDS LAWN CARE,11,-,11
1640,WIANNO CLUB INC,-,11,11
1342,JOHN HOFFMAN & SONS LANDSCAPING &,11,-,11
6210,CPM LANDSCAPING INC,11,-,11
7523,ASPEN VALLEY LAWN INC DBA THE GROU,11,-,11
3149,BSCS ASSOCS LLC DBA DOGTOOTH BAR &,11,-,11
3856,GARY SCIACCA RACING STABLE,11,-,11
1580,TENDER CARE LAWN SERVICE LLC,11,-,11
2328,WOOD LANDSCAPES INC,11,-,11
5753,HORIZON LANDSCAPE CO INC,11,-,11
5643,CLOVER LAWN CARE INC DBA CLOVER LA,11,-,11
7853,DIMPERIO BROTHERS LANDSCAPING INC,11,-,11
9126,COVENTRY PROPERTY SERVICES INC,-,11,11
8512,POWDER HOUSE LODGE LLC DBA POWDER,11,-,11
3258,HENDERSON CONCRETE INC,11,-,11
1113,UNIVERSAL CLEANERS LLC,11,-,11
3327,CAMINO REAL LLC,11,-,11
6096,G&G CONCESSIONS,11,-,11
8292,LONGS IRRIGATION COMPANY,11,-,11
4774,NATURES IMPRESSIONS LLC DBA 1ST IM,11,-,11
8399,G&G DRYWALL INC,-,11,11
8534,ECOLANDCARE LLC,11,-,11
9505,ROCKWELL ASSOCIATES LLC,11,-,11
5942,THE BREMEC GROUP INC,11,-,11
8379,TEPA LANDSCAPING INC,11,-,11
4583,YARDVARKS LLC,11,-,11
9749,ROCKS LAWN CARE/STUMP OUT LLC,11,-,11
4175,ANGELL SVCS LLC DBA ANGELL PLUMBIN,11,-,11
9010,ABSOLUTE LAWN CARE,-,11,11
2054,FUTURE CONCRETE CONSTRUCTION,11,-,11
8509,GREENWORKS LANDSCAPING INC,11,-,11
3927,GREEN ACRES LAWN CARE INC,-,11,11
9521,SHEPHERDS LANDSCAPE MAINTENANCE LL,-,11,11
1784,RTS LANDSCAPING INC,11,-,11
9170,LANDCARE LANDSCAPING INC,-,11,11
9894,APPALACHIA LANDSCAPING INC,11,-,11
4659,HORTICARE & ASSOCIATES INC,-,11,11
414,MONEY HILL GOLF AND COUNTRY CLUB,11,-,11
358,CAMP RIO VISTA INC,11,-,11
4416,OUTDOOR FX INC,11,-,11
4371,GANGWAY PROPERTIES INC,-,11,11
4194,HUGO REFORESTATION INC,-,11,11
2274,HAP HANSEN TRAINING STABLES,11,-,11
747,MARK HENNIG RACING STABLES INC,11,-,11
9887,TRENTON BRIDGE LOBSTER POUND INC,-,10,10
1061,MAHANEY ROOFING COMPANY INC,10,-,10
4637,NIGGEL LAWN CARE LLC,10,-,10
2716,STARR BOGGS,10,-,10
7659,CARNEGIE ABBEY CLUB ACQUISITION,10,-,10
4522,SANTOS RUBBISH REMOVAL,10,-,10
1643,BADDOCKS INC DBA MONTANOS RETAURAN,10,-,10
6951,THE INN AT STONECLIFFE,-,10,10
5645,DEGREE LAWN AND LANDSCAPE LLC,10,-,10
1316,TORII PROPERTY SVCS LLC,10,-,10
4513,TERRAWORKS INC,10,-,10
3198,JPB INC,-,10,10
7610,AQUA-LAWN INC,10,-,10
9899,VALLEYS LAWN & LANDSCAPE LLC,10,-,10
3107,BOB GOSMAN CO INC,10,-,10
207,GOSMANS RESTAURANT AND BAR INC,10,-,10
7039,SUSAN COHEN DESIGN,10,-,10
4840,CLAUDE R MCGAUGHLEY III RACING STA,10,-,10
7959,MONTAUK IGA,10,-,10
4193,S AND S MARKET INC,10,-,10
798,MAHONEY ASSOCIATES INC,10,-,10
4971,FORGIONE LANDSCAPING INC DBA A&J L,10,-,10
2807,LANDTEC SERVICES LLC,10,-,10
5345,MAID OF THE MIST CORPORATION,10,-,10
4046,CANTELE TENT RENTALS LLC,10,-,10
985,ALL GREEN INC,10,-,10
9709,AMERICA ROOF SOLUTIONS INC,10,-,10
4888,PHOENIX LANDSCAPE MGT OF CHARLOTTE,10,-,10
9624,IRON POINT MCDONALD S,10,-,10
8090,MCCASKEY LANDSCAPE & DESIGN LLC,10,-,10
6494,SABELL S SNOW & LAWN SVC INC,10,-,10
3553,TUCKER LANDSCAPING INC,10,-,10
5428,HAYNES LANDSCAPE & MNT INC,10,-,10
6378,NOEL S FOODS INC,10,-,10
1275,GROUNDSCAPE MAINTENANCE LLC,10,-,10
7237,OKLAHOMA CITY BOATHOUSE FOUNDATION,10,-,10
8189,AC LANDSCAPING LTD,-,10,10
8349,THE GARDEN CENTER LANDSCAPE LLC,10,-,10
2898,BARRIGON PLASTERING INC,-,10,10
7237,CENTRAL NORTH CONSTRUCTION LLC,10,-,10
6329,C & C SEAMLESS GUTTERING INC,10,-,10
5608,DAKOTAH PHD INC,10,-,10
2587,SHANER SPE ASSOCS LP DBA NEWPORT H,10,-,10
4912,SLMCO INC DBA SARVER LANDSCAPE MAI,10,-,10
1155,CONTEMPORARY GARDENS LANDSCAPING G,10,-,10
15,GREENSTONE GARDENS INC,10,-,10
3601,HEINSEL LLC DBA COMFORT SUITES,10,-,10
5663,C & C LANDSCAPING INC,10,-,10
7877,SHOWTIMES RIDES INC,10,-,10
4726,J F LUNA CONSTRUCTION LLC,-,10,10
5336,GREENLINE TURF SERVICES INC,10,-,10
3904,MIDWEST LANDSCAPING INC,10,-,10
3853,LIMBACHS LANDSCAPING LLC,10,-,10
8600,ROBERT BRADLEY LANDSCAPING INC,10,-,10
9081,COMFORT HOME SERVICES INC,10,-,10
443,BRADBURY LANDSCAPE INC,10,-,10
3644,SUNSET CREATIONS INC,10,-,10
8529,DELL LANDSCAPING INC DBA DELL GARD,10,-,10
2247,GRINKEVICH LAWN AND LANDSCAPE INC,10,-,10
718,VILLAGE GREEN LAWN CARE,10,-,10
2097,PATRICK MURPHY DBA IRISH LANDSCAPE,10,-,10
3885,ENVIRONMENTAL DESIGNERS IRRIGATION,10,-,10
4690,LANCASTER COUNTRY CLUB,10,-,10
9350,PHILADELPHIA COUNTRY CLUB,10,-,10
5082,GALBALLY LANDSCAPING INC,10,-,10
2712,HARRY SMITH CONTRACTORS INC DBA H,10,-,10
5262,GINKGO LANDSCAPES,10,-,10
4600,HUMMELS LANDSCAPE INC,10,-,10
5198,GARDNERS LANDSCAPE NURSERY INC,10,-,10
2301,DERSTINE LANDSCAPING LLC,-,10,10
3815,PAULS LAWN-SNOWPLOWING CARPENTRY C,10,-,10
8785,ROY BUTLER DBA BUTLER LANDSCAPING,10,-,10
1231,TEXAS BEAUTYSCAPES INC,10,-,10
2410,BERNELL RHONE RACING,10,-,10
788,RODRIGUEZ LAWN SERVICE,10,-,10
956,WILLIAM QUINN III INC DBA LONE STA,10,-,10
7235,CARRANZA CONCESSIONS LLC,10,-,10
49,MEDRANOS LANDSCAPING SERVICE,10,-,10
2431,STARSHIP ENTERTAINMENT LLC DBA GOO,-,10,10
8369,BRANDER ENTERPRISES INC D/B/A TEXA,10,-,10
9774,GREENLIGHT FOODSERVICE LLC,10,-,10
1022,SAKI LLC DBA SAKI SUSHI BAR AND JD,-,10,10
7953,GEN REAL ESTATE INVESTMENTS LLC DB,10,-,10
9287,COWBOY ATTRACTIONS LLC,10,-,10
1289,GRAYLING ENTERPRISES DBA NORTH 7TH,10,-,10
5529,METROPOLITAN TURF MGMT INC,10,-,10
5257,M & M LAWN CARE DBA MOSHIES LANDSC,10,-,10
8024,UNIQUE LANDSCAPING LLC,10,-,10
8732,USL OF AUGUSTA LLCDBA US LAWNS OF,10,-,10
871,WARNER PROPERTY MGT LLCDBA JHL LAN,10,-,10
5900,SEASONAL SOLUTIONS LLC,10,-,10
7737,BRIDGE HOSPITALITY LLC,10,-,10
9671,GAUDENCIO SOLLS,10,-,10
1061,JD LANDSCAPING & GRASS CUTTING LLC,10,-,10
8940,STARRSCAPE ENTERPRISES INC,10,-,10
9715,JORDAN RIVER MOVERS LLC DBA SEAPOR,10,-,10
8565,PALOS & GUZMAN SVCS INC DBA MUNDO,10,-,10
7723,WYCHMERE HARBOR FUNCTIONS LP,-,10,10
2979,SORONA LANDSCAPE LLC,-,10,10
6973,JJ & D CONSTRUCTION LLC,10,-,10
663,PEACE RIVER CONCESSIONS LLC,10,-,10
2647,CAPITOL CITY PRODUCE LLC,10,-,10
481,WRD LLC DBA REED DILLON & ASSO,10,-,10
942,WYOMING LANDSCAPE DEVELOPMENT,-,10,10
9959,SUGAR PLAY INC,-,10,10
5590,SUMMERHAYS LANDSCAPING & MAINTENAN,10,-,10
6415,R E M CONSTRUCTION INC,-,10,10
5870,NICK S LAWN CARE INC,10,-,10
2006,E C CONSTRUCTION,10,-,10
2360,THE CAMARGO CLUB,10,-,10
7780,HYDE PARK GOLF & COUNTRY CLUB,10,-,10
4569,FULLMER S LANDSCAPING INC,10,-,10
8344,J KUHN ENTERPRISES INC DBA A J ASP,10,-,10
8354,YARD SOLUTIONS INC,-,10,10
4625,BROUGHTON CONSTRUCTION LLC,10,-,10
5739,HOMELAND SCAPES LLC,10,-,10
765,LAWN MEX INC,10,-,10
1999,MJT CONSTRUCTION INC,10,-,10
6212,ELEMENTS FLOOR AND DESIGN LLC,10,-,10
6849,TEXAS LAND CARE INC,-,10,10
6652,TRINITY LANDSCAPING LLC DBA SOUTHE,-,10,10
3708,LOWE S GREENHOUSES & GIFT SHOP INC,10,-,10
8988,VANCUREN SVCS INC,10,-,10
7952,AMERICAN BEAUTY LANDSCAPING DBA AB,10,-,10
5477,ADAM RESSLER DBA DOWN TO EARTH LAN,10,-,10
7839,GENESIS LANDSCAPING INC,10,-,10
7121,A CUT ABOVE LAWN SVC INC,10,-,10
9555,R E M LLC DBA ROANOKE LANDSCAPES,10,-,10
7765,WASCO NURSERY INC,10,-,10
2832,GEORGE CARDENAS LANDSCAPING LTD DB,10,-,10
4927,PAUL FRITZ LANDSCAPE CONTRACTORS I,10,-,10
3110,C O LANDSCAPE CONTRACTOR INC,10,-,10
2068,NEW VISTA ENTERPRISES INC,10,-,10
1032,CENTURY MAINTENANCE,10,-,10
9082,ANIMAL KINGDOM BK,-,10,10
5986,NORTHERN IMPRESSIONS INC,10,-,10
3753,MILLER WALL CO INC,10,-,10
3498,DABCO INC,10,-,10
9959,CUT N CARE INC,10,-,10
4736,SHECTER LANDSCAPING INC,-,10,10
4523,DECLARK S LANDSCAPING INC,10,-,10
8885,MARK KUPPE & ASSO INC DBA KUPPE S,10,-,10
8571,SURROUNDS INC,10,-,10
3423,VICTORY LAWNSCAPE LLC,10,-,10
2489,SERVIN MOWING,-,10,10
2512,STANTON LANDSCAPING & IRRIGATION L,10,-,10
189,MEDINA GOLF & COUNTRY CLUB,10,-,10
9684,LUTSEN MOUNTAINS CORP,10,-,10
6502,TALBERG LAWN & LANDSCAPE INC,10,-,10
922,NORTHWAY IRRIGATION INC,10,-,10
7531,GREG S LAWN SVC INC DBA GREG S LAW,10,-,10
6219,J & J STONE COMPANY INC,10,-,10
4752,FOUR CORNERS MASONRY INC,10,-,10
6834,CONCRETE AGGREGATES LLC D/B/A EURE,10,-,10
5718,R AND S LAWN AND LANDSCAPE,10,-,10
7828,EMPIRE LANDSCAPING & SNOW PLOWING,10,-,10
2055,TRC OUTDOOR LLC,10,-,10
371,COMPLETE LAWN GROUNDS MAINTENANCE,10,-,10
4139,GREEN TREE SERVICE INC,-,10,10
5147,NOBLE HOUSE GATEWAY LLC FOR GATEWA,10,-,10
7274,MEYER TREE SERVICE INC,10,-,10
5566,TUZAS FRAMING INC,10,-,10
558,PARKS LAWN & LANDSCAPE SVCS INC,10,-,10
3585,UNITED STONE LLC,-,10,10
5338,CONNELY S SCENIC LANDSCAPING & NUR,10,-,10
6234,WONDERLAND MIDWAY CORP,10,-,10
6824,BALLYNEAL GOLF LTD,10,-,10
3210,GOLF MINOT INC,10,-,10
9411,JENSEN ROCK & SAND INC,10,-,10
4417,SPLITROCK LANDSCAPING & NURSERY IN,10,-,10
56,WRIGHT AND SUDLOW INC,10,-,10
2721,SODBUSTERS INC,10,-,10
4042,ALLEN OUTDOOR SERVICES LLC,10,-,10
4528,LOCAL HOTEL ADVENTURES LLC DBA AND,10,-,10
8883,TEXAS ENVIRO ART,10,-,10
7576,SEVENZOCKS PROPERTY MAINTENANCE &,10,-,10
6170,CLM ATTRACTIONS LLC DBA TWISTED AM,10,-,10
9156,ELITE LANDSCAPES AND PAVERS INC,10,-,10
9382,CUC LLC,10,-,10
2154,EXTREME OUTDOOR SOLUTIONS LLC,10,-,10
9340,HEBERT SUNRISE LANDSCAPES INC DBA,10,-,10
6658,K & R FARMS LLC,10,-,10
8965,GREEN FOREST LANDSCAPING LLC,-,10,10
8059,BRICK & BLOOM INC,10,-,10
6683,ROCKY MOUNTAIN HARDSCAPES LLP,-,10,10
1888,SHIRLEYS CRAWFISH PAD LLC,10,-,10
7112,NATIONAL LANDSCAPE AND LAWN MAINTE,-,10,10
3265,COUNTRY NURSERY INC,-,10,10
4782,BELLEVUE LA MESA INC,10,-,10
7950,MEDINA LANDSCAPING INC,10,-,10
2966,HALL CONTRACTING LLC,10,-,10
990,MILLIKEN ENTERPRISES INC,10,-,10
4178,PLASTER PROS,10,-,10
7462,VISTA TURF LLC,10,-,10
2366,LORENZO CONSTRUCTION LLC,-,10,10
9664,TEX MEX TRUCKING,10,-,10
5237,DTPC LLC DBA DOUBLE TREE PARK CITY,10,-,10
4825,GREENSCAPE LANDSCAPE CONTRACTORS L,10,-,10
858,MEXAM CONCRETE LLC,-,10,10
7922,HF LLC,10,-,10
6596,QUALITY SPRINKLERS AND LANDSCAPING,-,10,10
7082,MENDOZA WEST COAST FORESTRY,-,10,10
6688,COLORADO SCAPES INC,10,-,10
8970,VENMAR SHRIMP INC,-,10,10
1055,MCLEAN ROBERTSON RACING,-,10,10
4049,COLUMBIA GROUNDS MANAGEMENT INC,10,-,10
3385,PINEHURST LANDSCAPE CO INC,10,-,10
3351,TERRACE TURF LAWN SERVICE INC,10,-,10
5098,QUALITY ONE INC,10,-,10
2299,THE LAWN CREW LLC,10,-,10
6871,ACTIVE LAWN MAINTENANCE,10,-,10
7498,RITTER GROUNDS MAINTENANCE INC,10,-,10
5242,AGRA LAWNS INC,-,10,10
4750,EAST COAST BOATLIFTS INC,10,-,10
2373,ABLE AND ASSOCIATES LLC,10,-,10
7252,PERFECT LANDSCAPES LLC,10,-,10
9501,WILLIAMS BROTHERS TREE & LAWN SVC,10,-,10
567,B RUSHING LAWN AND LANDSCAPING INC,10,-,10
9122,TOUCAN ENTERPRISES,10,-,10
1319,GRANDY FARM MARKET,10,-,10
3134,ABLES LANDSCAPE ASSOCIATES INC,10,-,10
9701,PHOENIX LANDSCAPE MGT OF COLUMBIA,10,-,10
9794,AQUATRON IRRIGATION INC,10,-,10
230,ENGLISH TURN PROPERTY OWNERS ASSOC,10,-,10
258,GRIFFS CATERING INC,-,10,10
4894,ERLANGER WINDOW CLEANING,10,-,10
7480,SURECUT LAWNCARE LLC,10,-,10
5241,THE HONORS COURSE INC,10,-,10
9524,STONE SALES-SERVICE INC,-,10,10
1150,CVP ENTERPRISES INC,10,-,10
6967,SYCAMORE LANDSCAPE INC,10,-,10
9228,LAKE CHARLES COUNTRY CLUB,10,-,10
493,KELLEYS LOUISIANA LANDSCAPING INC,10,-,10
9472,CRAWFISH DISTRIBUTORS INC,10,-,10
7460,BASIN CONTRACTORS LLC,10,-,10
4991,C H SMITH CONSTRUCTION INC,10,-,10
5393,SOUTHERN LANDSCAPE SERVICES,10,-,10
2074,GREENSTOCK NURSERIES INC,10,-,10
791,LAWNOVATIONS INC,-,10,10
5512,HAEBER ROOFING COMPANY,-,10,10
6309,GPS ENTERPRISES INC DBA RED BARN G,10,-,10
7158,LINWOOD TRAWLERS INC,-,10,10
1944,BRIAN DUNN DBA LAKEVIEW NURSERY,10,-,10
3064,DIAMONDBACK LANDSCAPING & LAWNCARE,10,-,10
5361,ROGER WESTMORELAND CONCESSIONS INC,10,-,10
373,ALARIFE PLLC,-,10,10
5896,PREMIUM PACKING LLC,10,-,10
7029,LANDSCAPE EXPRESSIONS CO,10,-,10
5509,LANGFORD CONTRACTORS,10,-,10
3158,LUZ LERMA CONSTRUCTION INC,10,-,10
8784,BRUCE LANDSCAPING & MAINTENANCE IN,10,-,10
6026,WOODPECKER CABINETS INC,10,-,10
3672,COPPELL LAWN AND GARDEN INC,10,-,10
4359,REYES ROOFING,10,-,10
8247,GREEN ESCAPES NURSERY,10,-,10
2704,ACCENTS OF NATURE LANDSCAPING INC,-,10,10
5996,HOHMAN LANDSCAPING LLC,10,-,10
4475,CUSTOM CONSTRUCTION SVCS,10,-,10
3818,EVERGREEN LODGE,-,10,10
7359,LOG CARE INC,10,-,10
4756,OUTSIDE DREAMS LLC,10,-,10
5482,VICTORIA NATIONAL GOLF CLUB,10,-,10
9200,THE QUAGLINO LANDSCAPE COMPANY INC,10,-,10
8538,BRICK PAVING PLUS INC,10,-,10
3465,THREE BEAR LODGE INC,10,-,10
5344,BUCA CORP DBA BUCATINO RESTAURANT,10,-,10
9351,AKS SNOCO LLC,10,-,10
1830,LASER FAIR INC,10,-,10
8994,ASPEN LEAF MAINTENANCE INC,10,-,10
2867,COLORADO ALPINES INC,-,10,10
2199,STONE WHOLESALE INC,10,-,10
4914,ARKINS PARK STONE CORP,10,-,10
6817,A 1 CHIPSEAL CO,10,-,10
9081,SEASONS WEST INC,10,-,10
6620,BIRRELL SERVICES INC,10,-,10
6982,JDR CO INC,10,-,10
9360,STONE CREEK HARDSCAPES,10,-,10
5403,GREEN VALLEY RANCH GOLF CLUB,10,-,10
3248,SILVER SADDLE OF ESTES LLC,10,-,10
5634,LAWN CARE PLUS INC,10,-,10
8424,PROGRESSIVE PLANTS INC,10,-,10
5125,KAPPUS LANDSCAPE SPRINKLER LLC,10,-,10
7925,DISTINCTIVE LANDSCAPE INC,10,-,10
7302,SOUTHERN EXPOSURE LANDSCAPE & SPRI,10,-,10
3349,GREEN GRASS INCOMPARABLE LLC,10,-,10
2720,CASTLE VALLEY STONE LLC P,10,-,10
3597,THE VMI GROUP INC,10,-,10
6889,W & R COUNTRY FAIR CINNAMON ROLLS,10,-,10
8250,THOMAS WILMER STROUD DBA STROUD EN,10,-,10
5048,JENSEN TUNA INC,10,-,10
14,JONATHANS LANDING GOLF CLUB INC,10,-,10
9727,PELICANS NEST GOLF CLUB INC,10,-,10
3983,NAPLES LAKES COUNTRY CLUB DBA NAPL,10,-,10
2841,RHODE ISLAND PREMIER SOCCER LLC DB,10,-,10
5712,IMPERIAL GOLF CLUB INC,10,-,10
5027,FIDDLESTICKS COUNTRY CLUB,10,-,10
3985,ORCHID ISLAND GOLF & BEACH CLUB IN,10,-,10
7395,OLDE CYPRESS DEVELOPMENT LTD DBA T,10,-,10
6389,DK ACE LTD DBA ACE CUSTOM TAILORS,10,-,10
2918,BAILEY & HARLEY SERVICES LLC,10,-,10
7979,W R DAVENPORT JR DBA DYMER CREEK S,10,-,10
9795,STUCCO WORKS INC,-,D,D
3088,ENVIRONMENTAL SOLUTIONS,D,-,D
1730,ROCA VERDE INC,D,-,D
5792,STANMAR INC,-,D,D
6897,CAPE INN CORP DBA BREAKWATER MOTEL,D,-,D
5499,RESORT MOTELS INC DBA THE CORSAIR,D,-,D
5994,AMBIANCE LANDSCAPE LLC,D,-,D
3576,BAY LANDSCAPING AND PALM SVCS LLC,D,-,D
5047,GOLDENS BRIDGE INC DBA HERITAGE FA,D,-,D
4024,REYES CONCRETE CO LLC,-,D,D
7853,EAST BAY DETAILING INC,D,-,D
4762,R&R LAWNCARE & LANDSCAPING LLC,D,-,D
3994,JOHNSON LAWN & LANDSCAPE INC,D,-,D
9680,NEW LEAF LAWN & LANDSCAPE LLC,D,-,D
5471,BRUDD CONSTRUCTION COMPANY LLC,-,D,D
5557,FOXBOROUGH INC,D,-,D
2462,BTS LANDSCAPING INC,D,-,D
8992,J & L LAWNS AND LANDSCAPING LLC,D,-,D
864,EXCELL MAINTENANCE SERVICES INC,-,D,D
5390,LLANERCH COUNTRY CLUB,D,-,D
6160,LAKESIDE CULTURAL CARE DIV INC,D,-,D
6238,SERBIAN LANDSAPE SVCS INC DBA SAND,D,-,D
8108,MATTIA LANDSCAPE & NURSERY INC,D,-,D
9064,HOLLY DAYS NURSERY INC,-,D,D
3042,THE CLUB AT NEVILLEWOOD,D,-,D
8051,BLACKWOOD AND ASSOCIATES INC,D,-,D
774,MATTHEW RYAN DAVIS LANDSCAPING,D,-,D
706,CRIDERS LAWN CARE LLC,D,-,D
7377,EYEDEAL LAWN CARE SOLUTIONS LLC,D,-,D
7854,BLENCE LANDSCAPING LLC,D,-,D
4743,CUSTOM LANDSCAPING & LAWN CARE INC,D,-,D
1700,RW LAWNCARE & PROPERTY MAINTENANCE,D,-,D
5328,NEW SYSTEMS OF NASHVILLE LLC,D,-,D
8821,MAXIMINO ARMAS DBA PGM LANDSCAPING,D,-,D
8843,BEST LANDSCAPES LLC,D,-,D
7534,IVS LANDSCAPING LTD,D,-,D
453,THE YARD BARBERS,D,-,D
3190,AUSTIN GREEN CUT INC,D,-,D
3305,TINOS LANDSCAPING INC,D,-,D
6587,ROCK BOTTOM LAWN MAINTENANCE INC D,D,-,D
8177,ISLAND LANDSCAPE & DEVELOPMENT INC,D,-,D
9227,DORAN S LANDSCAPE,D,-,D
5620,MIJALISCO LANDSCAPING LLC,D,-,D
858,WORRY FREE LAWN CARE & SNOW REMOVA,D,-,D
101,NORLING S LAKE MINNETONKA LANDSCAP,D,-,D
9224,L & K TREE & SHRUB INC,-,D,D
3594,HOUSKA INC,-,D,D
8981,TOWN & COUNTRY PAINTING INC,D,-,D
2425,MOREL LANDSCAPING LLC,D,-,D
1756,LAWN BUTLER LLC,-,D,D
767,SAYLER CONSTUCTION INC,-,D,D
3045,ALL-N-ONE LAWN CARE LLC,D,-,D
6895,JUSTIN PRIDE LLC,D,-,D
4220,T & T LAWN CARE,D,-,D
3932,GROUNDS PRO LLC,D,-,D
3243,AMIN HOTELS INC DBA OGUNQUIT RIVER,D,-,D
2691,DOUBLE EAGLE INC,D,-,D
9774,L F MAHONEY INC,D,-,D
108,TOP NOTCH LAWNCARE LLC,D,-,D
4662,GREEN PLANTERS GARDEN CENTER INC,D,-,D
2105,WINDRIDGE LANDSCAPING COMPANY INC,D,-,D
4505,HRC INCORPORATED,D,-,D
6880,CHRISTMAS DECOR OF CHARLESTON INC,D,-,D
1098,GILLUM LAWN MAINTENANCE,D,-,D
6019,INTERSTATE AMUSEMENTS OF AMERICA I,D,-,D
4956,J WEST INC,-,D,D
5972,BENBOW VALLEY INVESTMENTS DBA BENB,D,-,D
6846,HERBERTS SPECIALTY MEATS LLC,D,-,D
9382,DALY-SUBLETTE LANDSCAPE ARCHITECTS,D,-,D
9810,JIMS RIDES INC,D,-,D
8809,GRAY PLANTATION LLC,D,-,D
3140,SMOKETREE LANDSCAPE SERVICES INC,D,-,D
1167,OAK TREE GOLF CLUB LLC,D,-,D
5841,PROGRAM ONE PRO BLDG SVCS INC,D,-,D
4893,HERSCHAP BACKHOE & DITCHING,-,D,D
1342,DRAKE LANDSCAPE SERVICES INC,D,-,D
384,MAINSCAPE INC,D,-,D
1051,PHD & ME,D,-,D
4174,UTAH LANDSCULPTURE INC,D,-,D
6480,SILVA & SONS LANDSCAPING LLC,D,-,D
5029,BEE LINE SPRINKLER INC,D,-,D
7505,JOHN STINEBAUGH DBA JOHN STINEBAUG,D,-,D
693,MADAME RUBY S LLC DBA RUBY HOUSE,D,-,D
9798,MOVING MOUNTAINS INC,D,-,D
4972,MURRAY BROTHERS INC,-,D,D
396,EARL W NOYES & SONS MOVING SPC INC,D,-,D
5034,LINMURE INC,-,D,D
1616,THE BEACHMERE INN INC,-,D,D
2660,ELMWOOD HOTEL,D,-,D
7755,THE SANKATY HEAD GOLF CLUB,-,D,D
2766,CAPE COD LOBSTER CLAW INC,D,-,D
2995,TANKER CORP THE SEAGRILLE,D,-,D
2402,VINEYARD GARDENS INC,D,-,D
2791,BALANCE ROCK INN,-,D,D
6770,LUSTER PACKARD INC DBA CIRO & SALS,-,D,D
340,NANTUCKET SEAFOOD,D,-,D
5289,GREEN ANGELS LANDSCAPING LLC,D,-,D
9547,PINE HOLLOW COUNTRY CLUB,D,-,D
