,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 170,039 "," 104,723 "," 8,713 "," 393,474 "," 89,754 "," 29,661 "," 4,917 "," 670,262 "," 259,793 "," 134,384 "," 13,630 "," 1,063,736 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
,California,WSC, 156 , 146 , D , 376 , - , - , - , D , 156 , 146 , D , 377 ,
,Nebraska,NSC, 138 , 153 , 14 , 413 , D , D , D , 14 , 140 , 156 , 16 , 427 ,
,Texas,SSC, 17 , 98 , D , 63 , - , D , D , - , 17 , 99 , D , 63 ,
,Vermont,ESC, D , D , - , 28 , - , - , - , - , D , D , - , 28 ,
,Potomac,YSC," 14,497 "," 7,536 ", 729 ," 26,095 ", 306 , 272 , 26 , 421 ," 14,803 "," 7,808 ", 755 ," 26,516 ",
International Field Office by Country,,,,,,,,,,,,,,,
China,,, , , , , , , , ,,,,,
,Beijing,BEI,72,53,1,55,N/A,N/A,N/A,N/A,72,53,1,55,
,Guangzhou,GZH,74,69,1,36,N/A,N/A,N/A,N/A,74,69,1,36,
Cuba,,,,,,, , , , , , , , ,
,Havana,HAV, 3 , 2 ,0,1,N/A,N/A,N/A,N/A,3,2,0,1,
Dominican Republic,,,,,,, , , , , , , , ,
,Santo Domingo,SDM,133,118,0,62,N/A,N/A,N/A,N/A,133,118,0,62,
El Salvador,,,,,,, , , , , , , , ,
,San Salvador,SNS,42,22,0,23,N/A,N/A,N/A,N/A,42,22,0,23,
Germany,,,,,,, , , , , , , , ,
,Frankfurt,FKG,277,184,1,173,N/A,N/A,N/A,N/A,277,184,1,173,
Ghana,,,,,,, , , , , , , , ,
,Accra,ACG,7,3,2,5,N/A,N/A,N/A,N/A,7,3,2,5,
Greece,,,,,,, , , , , , , , ,
,Athens,ATH,42,26,2,19,N/A,N/A,N/A,N/A,42,26,2,19,
Guatemala,,,,,,, , , , , , , , ,
,Guatemala City,GTM,28,33,0,14,N/A,N/A,N/A,N/A,28,33,0,14,
Haiti,,,,,,, , , , , , , , ,
,Port-au-Prince,PAP,15,12,0,4,N/A,N/A,N/A,N/A,15,12,0,4,
India,,,,,,, , , , , , , , ,
,New Delhi,NDI,39,60,0,8,N/A,N/A,N/A,N/A,39,60,0,8,
Italy,,,,,,, , , , , , , , ,
,Rome,RIT,131,67,2,71,N/A,N/A,N/A,N/A,131,67,2,71,
Jordan,,,,,,, , , , , , , , ,
,Amman,AMM,193,58,0,192,N/A,N/A,N/A,N/A,193,58,0,192,
Kenya,,,,,,, , , , , , , , ,
,Nairobi,NBO,7,7,0,5,N/A,N/A,N/A,N/A,7,7,0,5,
Mexico,,,,,,, , , , , , , , ,
,Ciudad Juarez,CDJ,59,57,0,2,N/A,N/A,N/A,N/A,59,57,0,2,
,Mexico City,MEX,72,82,0,7,N/A,N/A,N/A,N/A,72,82,0,7,
,Monterrey,MTR,28,23,1,10,N/A,N/A,N/A,N/A,28,23,1,10,
Peru,,,,,,, , , , , , , , ,
,Lima,LIM,27,22,0,13,N/A,N/A,N/A,N/A,27,22,0,13,
Philippines,,,,,,, , , , , , , , ,
,Manila,MPH,124,92,4,53,N/A,N/A,N/A,N/A,124,92,4,53,
Russia,,,,,,, , , , , , , , ,
,Moscow,MOS,25,25,0,1,N/A,N/A,N/A,N/A,25,25,0,1,
South Africa,,,,,,, , , , , , , , ,
,Johannesburg,JHS,22,39,0,0,N/A,N/A,N/A,N/A,22,39,0,0,
South Korea,,,,,,, , , , , , , , ,
,Seoul,SEK,281,230,0,102,N/A,N/A,N/A,N/A,281,230,0,102,
Thailand,,,,,,, , , , , , , , ,
,Bangkok,BKK,81,65,0,35,N/A,N/A,N/A,N/A,81,65,0,35,
United Kingdom,,,,,,, , , , , , , , ,
,London,LDN,297,301,1,170,N/A,N/A,N/A,N/A,297,301,1,170,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,
              2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), December 2016",,,,,,,,,,,,,,,
