,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2013 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,723,648 "," 1,285,376 "," 100,649 "," 2,844,803 "," 1,495,598 "," 1,563,914 "," 114,616 "," 2,764,101 "," 1,919,703 "," 1,519,803 "," 119,929 "," 3,433,216 "," 1,759,072 "," 1,810,250 "," 133,830 "," 2,977,138 "," 6,898,021 "," 6,179,343 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-648,Disability Exception Applications," 4,939 "," 4,837 "," 2,184 "," 2,371 "," 5,602 "," 5,842 "," 2,478 "," 2,041 "," 5,604 "," 5,340 "," 2,306 "," 1,942 "," 4,538 "," 4,875 "," 2,343 "," 2,504 "," 20,683 "," 20,894 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-90,Renew/Replace Permanent Resident Cards," 101,358 "," 70,370 "," 6,104 "," 139,234 "," 148,211 "," 72,896 "," 6,689 "," 211,740 "," 160,241 "," 79,732 "," 4,287 "," 289,879 "," 162,164 "," 94,393 "," 6,645 "," 355,466 "," 571,974 "," 317,391 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-102,Replace I-94s," 3,706 "," 2,630 ", 559 ," 5,029 "," 3,811 "," 4,081 ", 512 ," 4,233 "," 3,447 "," 2,980 ", 645 ," 3,970 "," 2,751 "," 2,655 ", 836 ," 3,231 "," 13,715 "," 12,346 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-131,Reentry Permit/Refugee Travel Document," 18,596 "," 20,596 ", 685 ," 13,571 "," 22,494 "," 12,919 ", 422 ," 22,719 "," 26,249 "," 22,103 ", 490 ," 26,436 "," 23,907 "," 28,703 "," 2,286 "," 19,358 "," 91,246 "," 84,321 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-131,Advance Parole," 74,142 "," 58,764 "," 1,993 "," 41,887 "," 78,670 "," 86,741 "," 2,507 "," 31,835 "," 64,414 "," 64,429 "," 2,529 "," 29,510 "," 72,647 "," 57,190 "," 2,945 "," 42,184 "," 289,873 "," 267,124 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-193,Passport/Visa Waiver Applications, 127 , 42 , 16 , 558 , 124 , 45 , 11 , 628 , 117 , 53 , 21 , 674 , 103 , 41 , D , 638 , 471 , 181 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-360,Immigrant Petitions," 4,329 "," 2,615 ", 841 ," 17,308 "," 4,598 "," 4,201 "," 1,041 "," 17,135 "," 5,724 "," 5,110 "," 1,236 "," 16,823 "," 5,510 "," 6,445 "," 1,997 "," 14,143 "," 20,161 "," 18,371 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Other Adjustments of Status," 4,450 "," 3,021 ", 606 ," 12,623 "," 4,753 "," 3,001 "," 1,119 "," 14,353 "," 6,776 "," 3,446 ", 852 ," 16,966 "," 6,627 "," 4,814 ", 965 ," 17,773 "," 22,606 "," 14,282 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-539,Applications to Extend/ Change Nonimmigrant Status," 33,114 "," 39,783 "," 5,191 "," 34,194 "," 32,674 "," 45,884 "," 6,831 "," 20,609 "," 42,285 "," 31,340 "," 5,446 "," 31,905 "," 40,201 "," 32,745 "," 4,948 "," 39,969 "," 148,274 "," 149,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
